period,ISO_CNTRY_CODE,country_name,REFUSAL_DATE,REFUSAL_DATE_PARSED,PRDCT_CODE_DESC_TEXT,REFUSAL_CHARGES,mapped_charge_count,mapped_charge_codes,mapped_charge_categories,sps_tbt_category
2024-2026,IN,India,05-Jun-24,2024-06-05,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","2860, 3220",2,"NITROFURAN-3220, VETDRUGRES-2860",SPS,SPS
2024-2026,IN,India,08-Jul-25,2025-07-08,"ORIENTAL NOODLES (FLAVORED WITH SHRIMP,CHICKEN,BEEF,LOBSTER,CRAB,PLAIN,ETC.)","325, 3300",2,"ALLERGEN-3300, STD NAME-325",TBT,TBT
2024-2026,VN,Vietnam,25-Jul-24,2024-07-25,"SHRIMP & PRAWNS, BREADED","2900, 3885",2,"CHLORAMP-2900, POIS CHLOR-3885",SPS,SPS
2024-2026,EC,Ecuador,11-Jan-24,2024-01-11,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",3220,1,NITROFURAN-3220,SPS,SPS
2024-2026,IN,India,04-Apr-24,2024-04-04,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",2860,1,VETDRUGRES-2860,SPS,SPS
2024-2026,IN,India,28-Aug-25,2025-08-28,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 249",2,"FILTHY-249, SALMONELLA-9",SPS,SPS
2024-2026,IN,India,05-Aug-24,2024-08-05,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","320, 2860",2,"LACKS FIRM-320, VETDRUGRES-2860","SPS, TBT",SPS+TBT
2024-2026,IN,India,13-Jun-25,2025-06-13,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 249",2,"FILTHY-249, SALMONELLA-9",SPS,SPS
2024-2026,IN,India,20-Feb-25,2025-02-20,SHRIMP & PRAWNS,3220,1,NITROFURAN-3220,SPS,SPS
2024-2026,IN,India,23-Feb-24,2024-02-23,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",3220,1,NITROFURAN-3220,SPS,SPS
2024-2026,VN,Vietnam,25-Jul-24,2024-07-25,"SHRIMP & PRAWNS, BREADED","2900, 3885",2,"CHLORAMP-2900, POIS CHLOR-3885",SPS,SPS
2024-2026,IN,India,17-Jan-25,2025-01-17,SHRIMP & PRAWNS,"9, 249",2,"FILTHY-249, SALMONELLA-9",SPS,SPS
2024-2026,IN,India,05-Mar-25,2025-03-05,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 249",2,"FILTHY-249, SALMONELLA-9",SPS,SPS
2024-2026,IN,India,31-Jul-25,2025-07-31,"ORIENTAL NOODLES (FLAVORED WITH SHRIMP,CHICKEN,BEEF,LOBSTER,CRAB,PLAIN,ETC.)","218, 482",2,"LIST INGRE-218, NUTRIT LBL-482",TBT,TBT
2024-2026,IN,India,31-Jan-24,2024-01-31,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 249",2,"FILTHY-249, SALMONELLA-9",SPS,SPS
2024-2026,IN,India,31-Jul-25,2025-07-31,"ORIENTAL NOODLES (FLAVORED WITH SHRIMP,CHICKEN,BEEF,LOBSTER,CRAB,PLAIN,ETC.)","218, 324, 488",3,"HEALTH C-488, LIST INGRE-218, NO ENGLISH-324",TBT,TBT
2024-2026,IN,India,30-Apr-24,2024-04-30,SHRIMP & PRAWNS,"2860, 3220",2,"NITROFURAN-3220, VETDRUGRES-2860",SPS,SPS
2024-2026,IN,India,11-Apr-25,2025-04-11,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",2860,1,VETDRUGRES-2860,SPS,SPS
2024-2026,IN,India,23-Jan-24,2024-01-23,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",2860,1,VETDRUGRES-2860,SPS,SPS
2024-2026,IN,India,01-Apr-25,2025-04-01,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",2860,1,VETDRUGRES-2860,SPS,SPS
2024-2026,IN,India,15-May-25,2025-05-15,SHRIMP & PRAWNS,"9, 249",2,"FILTHY-249, SALMONELLA-9",SPS,SPS
2024-2026,IN,India,31-Jul-24,2024-07-31,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",3220,1,NITROFURAN-3220,SPS,SPS
2024-2026,IN,India,13-Jun-25,2025-06-13,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 312, 2860, 3220",4,"FILTH-312, NITROFURAN-3220, SALMONELLA-9, VETDRUGRES-2860",SPS,SPS
2024-2026,IN,India,27-Jun-25,2025-06-27,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",249,1,FILTHY-249,SPS,SPS
2024-2026,VN,Vietnam,28-Aug-24,2024-08-28,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",2860,1,VETDRUGRES-2860,SPS,SPS
2024-2026,IN,India,23-Feb-24,2024-02-23,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","2860, 3220",2,"NITROFURAN-3220, VETDRUGRES-2860",SPS,SPS
2024-2026,VN,Vietnam,14-Jun-24,2024-06-14,SHRIMP & PRAWNS,9,1,SALMONELLA-9,SPS,SPS
2024-2026,IN,India,15-Jul-25,2025-07-15,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",249,1,FILTHY-249,SPS,SPS
2024-2026,IN,India,13-Jun-25,2025-06-13,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 249, 2860, 3220",4,"FILTHY-249, NITROFURAN-3220, SALMONELLA-9, VETDRUGRES-2860",SPS,SPS
2024-2026,VN,Vietnam,14-Jun-24,2024-06-14,SHRIMP & PRAWNS,9,1,SALMONELLA-9,SPS,SPS
2024-2026,IN,India,14-Nov-24,2024-11-14,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",9,1,SALMONELLA-9,SPS,SPS
2024-2026,VN,Vietnam,28-Feb-25,2025-02-28,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",2860,1,VETDRUGRES-2860,SPS,SPS
2024-2026,IN,India,03-Jan-25,2025-01-03,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 249",2,"FILTHY-249, SALMONELLA-9",SPS,SPS
2024-2026,IN,India,05-Mar-25,2025-03-05,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 249",2,"FILTHY-249, SALMONELLA-9",SPS,SPS
2024-2026,IN,India,28-Aug-25,2025-08-28,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 249",2,"FILTHY-249, SALMONELLA-9",SPS,SPS
2024-2026,IN,India,05-Mar-25,2025-03-05,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 249",2,"FILTHY-249, SALMONELLA-9",SPS,SPS
2024-2026,IN,India,15-Nov-24,2024-11-15,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",306,1,INSANITARY-306,SPS,SPS
2024-2026,IN,India,09-May-25,2025-05-09,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","2860, 3220",2,"NITROFURAN-3220, VETDRUGRES-2860",SPS,SPS
2024-2026,IN,India,15-May-25,2025-05-15,SHRIMP & PRAWNS,"9, 249",2,"FILTHY-249, SALMONELLA-9",SPS,SPS
2024-2026,IN,India,31-Jul-25,2025-07-31,"ORIENTAL NOODLES (FLAVORED WITH SHRIMP,CHICKEN,BEEF,LOBSTER,CRAB,PLAIN,ETC.)","218, 482",2,"LIST INGRE-218, NUTRIT LBL-482",TBT,TBT
2024-2026,IN,India,18-Jun-25,2025-06-18,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 249",2,"FILTHY-249, SALMONELLA-9",SPS,SPS
2024-2026,IN,India,28-Aug-25,2025-08-28,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 249",2,"FILTHY-249, SALMONELLA-9",SPS,SPS
2024-2026,VN,Vietnam,15-Oct-24,2024-10-15,"SHRIMP & PRAWNS, BREADED","482, 2860, 3220",3,"NITROFURAN-3220, NUTRIT LBL-482, VETDRUGRES-2860","SPS, TBT",SPS+TBT
2024-2026,IN,India,16-Feb-24,2024-02-16,SHRIMP & PRAWNS,"2860, 3220",2,"NITROFURAN-3220, VETDRUGRES-2860",SPS,SPS
2024-2026,IN,India,04-Aug-25,2025-08-04,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","2860, 3220",2,"NITROFURAN-3220, VETDRUGRES-2860",SPS,SPS
2024-2026,VN,Vietnam,04-Sep-24,2024-09-04,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","2860, 2860",1,VETDRUGRES-2860,SPS,SPS
2024-2026,IN,India,05-Mar-25,2025-03-05,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 249",2,"FILTHY-249, SALMONELLA-9",SPS,SPS
2024-2026,IN,India,05-Aug-24,2024-08-05,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","320, 2860",2,"LACKS FIRM-320, VETDRUGRES-2860","SPS, TBT",SPS+TBT
2024-2026,IN,India,30-Apr-24,2024-04-30,SHRIMP & PRAWNS,"2860, 3220",2,"NITROFURAN-3220, VETDRUGRES-2860",SPS,SPS
2024-2026,IN,India,01-Apr-25,2025-04-01,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",2860,1,VETDRUGRES-2860,SPS,SPS
2024-2026,IN,India,28-Aug-25,2025-08-28,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 249",2,"FILTHY-249, SALMONELLA-9",SPS,SPS
2024-2026,IN,India,04-Aug-25,2025-08-04,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","2860, 3220",2,"NITROFURAN-3220, VETDRUGRES-2860",SPS,SPS
2024-2026,VN,Vietnam,20-Mar-25,2025-03-20,"SHRIMP & PRAWNS, BREADED","2860, 3220",2,"NITROFURAN-3220, VETDRUGRES-2860",SPS,SPS
2024-2026,VN,Vietnam,15-Oct-24,2024-10-15,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","2860, 3220",2,"NITROFURAN-3220, VETDRUGRES-2860",SPS,SPS
2024-2026,IN,India,20-Nov-24,2024-11-20,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",2860,1,VETDRUGRES-2860,SPS,SPS
2024-2026,IN,India,16-Feb-24,2024-02-16,SHRIMP & PRAWNS,"2860, 3220",2,"NITROFURAN-3220, VETDRUGRES-2860",SPS,SPS
2024-2026,IN,India,30-Apr-24,2024-04-30,SHRIMP & PRAWNS,"2860, 3220",2,"NITROFURAN-3220, VETDRUGRES-2860",SPS,SPS
2024-2026,VN,Vietnam,05-Feb-24,2024-02-05,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",3885,1,POIS CHLOR-3885,SPS,SPS
2024-2026,IN,India,09-May-25,2025-05-09,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","2860, 3220",2,"NITROFURAN-3220, VETDRUGRES-2860",SPS,SPS
2024-2026,VN,Vietnam,28-Aug-24,2024-08-28,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",2860,1,VETDRUGRES-2860,SPS,SPS
2024-2026,VN,Vietnam,28-Aug-24,2024-08-28,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",2860,1,VETDRUGRES-2860,SPS,SPS
2024-2026,VN,Vietnam,01-Oct-25,2025-10-01,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",2860,1,VETDRUGRES-2860,SPS,SPS
2024-2026,IN,India,24-Jul-25,2025-07-24,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","2860, 3220",2,"NITROFURAN-3220, VETDRUGRES-2860",SPS,SPS
2024-2026,IN,India,24-Jul-25,2025-07-24,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","2860, 3220",2,"NITROFURAN-3220, VETDRUGRES-2860",SPS,SPS
2024-2026,IN,India,14-Apr-25,2025-04-14,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 249",2,"FILTHY-249, SALMONELLA-9",SPS,SPS
2024-2026,IN,India,11-Jun-25,2025-06-11,"ORIENTAL NOODLES (FLAVORED WITH SHRIMP,CHICKEN,BEEF,LOBSTER,CRAB,PLAIN,ETC.)","256, 260, 482",3,"FALSE-260, INCONSPICU-256, NUTRIT LBL-482",TBT,TBT
2024-2026,IN,India,11-Apr-25,2025-04-11,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",2860,1,VETDRUGRES-2860,SPS,SPS
2024-2026,IN,India,17-Jan-25,2025-01-17,SHRIMP & PRAWNS,"9, 249",2,"FILTHY-249, SALMONELLA-9",SPS,SPS
2024-2026,VN,Vietnam,13-Nov-25,2025-11-13,"SHRIMP & PRAWNS, BREADED","2860, 3220",2,"NITROFURAN-3220, VETDRUGRES-2860",SPS,SPS
2024-2026,VN,Vietnam,17-Oct-25,2025-10-17,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","2860, 3220",2,"NITROFURAN-3220, VETDRUGRES-2860",SPS,SPS
2024-2026,IN,India,05-Mar-25,2025-03-05,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 249",2,"FILTHY-249, SALMONELLA-9",SPS,SPS
2024-2026,IN,India,06-Feb-24,2024-02-06,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",249,1,FILTHY-249,SPS,SPS
2024-2026,IN,India,11-Sep-25,2025-09-11,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",2860,1,VETDRUGRES-2860,SPS,SPS
2024-2026,IN,India,16-Feb-24,2024-02-16,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","2860, 3220",2,"NITROFURAN-3220, VETDRUGRES-2860",SPS,SPS
2024-2026,VN,Vietnam,15-Oct-24,2024-10-15,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","2860, 3220",2,"NITROFURAN-3220, VETDRUGRES-2860",SPS,SPS
2024-2026,IN,India,05-Mar-25,2025-03-05,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 249",2,"FILTHY-249, SALMONELLA-9",SPS,SPS
2024-2026,IN,India,05-Mar-25,2025-03-05,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 249",2,"FILTHY-249, SALMONELLA-9",SPS,SPS
2024-2026,IN,India,02-May-24,2024-05-02,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",2860,1,VETDRUGRES-2860,SPS,SPS
2024-2026,IN,India,05-Mar-25,2025-03-05,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 249",2,"FILTHY-249, SALMONELLA-9",SPS,SPS
2024-2026,IN,India,23-Sep-24,2024-09-23,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","2900, 3885",2,"CHLORAMP-2900, POIS CHLOR-3885",SPS,SPS
2024-2026,IN,India,30-May-24,2024-05-30,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",2860,1,VETDRUGRES-2860,SPS,SPS
2024-2026,IN,India,14-Jun-24,2024-06-14,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",3220,1,NITROFURAN-3220,SPS,SPS
2024-2026,IN,India,23-Sep-24,2024-09-23,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","2900, 3885",2,"CHLORAMP-2900, POIS CHLOR-3885",SPS,SPS
2024-2026,IN,India,06-Nov-25,2025-11-06,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","2860, 3220",2,"NITROFURAN-3220, VETDRUGRES-2860",SPS,SPS
2024-2026,IN,India,05-Mar-25,2025-03-05,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 249",2,"FILTHY-249, SALMONELLA-9",SPS,SPS
2024-2026,VN,Vietnam,28-Aug-24,2024-08-28,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",2860,1,VETDRUGRES-2860,SPS,SPS
2024-2026,IN,India,05-Mar-25,2025-03-05,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 249",2,"FILTHY-249, SALMONELLA-9",SPS,SPS
2024-2026,IN,India,15-May-25,2025-05-15,SHRIMP & PRAWNS,"9, 249",2,"FILTHY-249, SALMONELLA-9",SPS,SPS
2024-2026,IN,India,18-Jun-25,2025-06-18,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",2860,1,VETDRUGRES-2860,SPS,SPS
2024-2026,VN,Vietnam,28-Aug-24,2024-08-28,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",2860,1,VETDRUGRES-2860,SPS,SPS
2024-2026,IN,India,11-Apr-25,2025-04-11,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",2860,1,VETDRUGRES-2860,SPS,SPS
2024-2026,IN,India,11-Jun-25,2025-06-11,"ORIENTAL NOODLES (FLAVORED WITH SHRIMP,CHICKEN,BEEF,LOBSTER,CRAB,PLAIN,ETC.)","256, 260, 482",3,"FALSE-260, INCONSPICU-256, NUTRIT LBL-482",TBT,TBT
2024-2026,IN,India,03-Jan-25,2025-01-03,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 249",2,"FILTHY-249, SALMONELLA-9",SPS,SPS
2024-2026,IN,India,16-Apr-25,2025-04-16,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",249,1,FILTHY-249,SPS,SPS
2024-2026,IN,India,28-Feb-25,2025-02-28,SHRIMP & PRAWNS,"2900, 3885",2,"CHLORAMP-2900, POIS CHLOR-3885",SPS,SPS
2024-2026,IN,India,15-May-25,2025-05-15,"ORIENTAL NOODLES (FLAVORED WITH SHRIMP,CHICKEN,BEEF,LOBSTER,CRAB,PLAIN,ETC.)",249,1,FILTHY-249,SPS,SPS
2024-2026,IN,India,03-Feb-25,2025-02-03,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS",9,1,SALMONELLA-9,SPS,SPS
2024-2026,IN,India,29-May-25,2025-05-29,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 249",2,"FILTHY-249, SALMONELLA-9",SPS,SPS
2024-2026,IN,India,05-Aug-24,2024-08-05,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","320, 2860",2,"LACKS FIRM-320, VETDRUGRES-2860","SPS, TBT",SPS+TBT
2024-2026,IN,India,05-Mar-25,2025-03-05,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 249",2,"FILTHY-249, SALMONELLA-9",SPS,SPS
2024-2026,VN,Vietnam,24-Jul-25,2025-07-24,"SHRIMP & PRAWNS, BREADED",9,1,SALMONELLA-9,SPS,SPS
2024-2026,IN,India,05-Mar-25,2025-03-05,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS","9, 249",2,"FILTHY-249, SALMONELLA-9",SPS,SPS
